City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,naples manor,26.0887,-81.7262,29.0,51,75,4.12,US,1723097348
225,vila velha,-20.3297,-40.2925,21.08,87,0,3.13,BR,1723097349
226,dalby,-27.1833,151.2667,20.67,33,2,4.18,AU,1723097351
227,walvis bay,-22.9575,14.5053,11.72,87,2,0.96,NA,1723097352
228,eyguieres,43.6948,5.0313,24.51,73,0,1.03,FR,1723097353
229,san luis,-33.295,-66.3356,2.03,84,91,5.32,AR,1723097354
230,sucua,-2.4667,-78.1667,20.51,95,92,1.1,EC,1723097355
231,horta,38.5333,-28.6333,21.68,84,0,3.13,PT,1723097356
232,casalbordino-miracoli,42.1535,14.5991,27.6,77,44,1.46,IT,1723097358
233,edmond,35.6528,-97.4781,30.57,59,19,1.79,US,1723097359
234,udalguri,26.7667,92.1333,30.62,73,88,3.4,IN,1723097360
235,gornopravdinsk,60.05,69.9,13.46,59,100,3.45,RU,1723097362
236,papao,-17.75,-149.55,26.82,79,26,6.75,PF,1723097364
237,nuuk,64.1835,-51.7216,4.34,100,100,2.06,GL,1723097365
238,marsh harbour,26.5412,-77.0636,28.45,78,20,6.76,BS,1723097136
239,klyuchi,52.2667,79.1667,25.96,54,75,3.23,RU,1723097367
240,pacocha,-17.5833,-71.3333,14.12,88,40,2.37,PE,1723097368
241,bamboo flat,11.7,92.7167,31.05,70,40,4.12,IN,1723097369
242,luganville,-15.5333,167.1667,23.93,72,99,5.26,VU,1723097371
243,demre,36.2537,29.9777,29.42,62,0,2.33,TR,1723097372
244,margate,51.3813,1.3862,16.06,82,29,3.52,GB,1723097373
245,tiksi,71.6872,128.8694,7.07,95,100,1.96,RU,1723097374
246,khabarovsk,48.4808,135.0928,27.89,54,40,3.0,RU,1723097375
247,esqueda,30.7167,-109.5833,21.4,84,66,2.3,MX,1723097377
248,alofi,-19.0595,-169.9187,21.94,68,100,5.66,NU,1723097378
249,severo-yeniseyskiy,60.3725,93.0408,17.99,70,100,1.76,RU,1723097379
250,abepura,-2.6333,140.5833,30.45,70,20,2.06,ID,1723097380
251,palmer,42.1584,-72.3287,16.16,79,0,0.0,US,1723097381
252,schagen,52.7875,4.7986,18.88,80,40,3.09,NL,1723097382
253,tete,-16.1564,33.5867,21.05,60,0,1.54,MZ,1723097384
254,crane,31.3974,-102.3501,31.97,23,8,3.52,US,1723097385
255,mount gambier,-37.8333,140.7667,9.69,96,100,4.03,AU,1723097386
256,maun,-19.9833,23.4167,17.64,31,0,1.89,BW,1723097387
257,rovaniemi,66.5,25.7167,15.67,67,0,3.09,FI,1723097388
258,nerekhta,57.4588,40.5747,15.94,84,36,3.55,RU,1723097389
259,pekanbaru,0.5333,101.45,32.18,58,40,5.14,ID,1723097391
260,abong mbang,3.9833,13.1833,19.0,91,87,2.02,CM,1723097392
261,inarajan village,13.2736,144.7484,29.33,85,93,2.01,GU,1723097393
262,barra de santo antonio,-9.4047,-35.5072,20.6,82,7,3.04,BR,1723097394
263,sarakhs,36.5449,61.1577,38.13,9,0,4.35,IR,1723097395
264,ambodifotatra,-16.9833,49.85,23.44,63,18,5.53,MG,1723097396
265,katsuura,35.1333,140.3,28.3,78,25,2.65,JP,1723097398
266,nuku'alofa,-21.1333,-175.2,21.19,73,40,6.17,TO,1723097399
267,kitami,43.8031,143.8908,23.69,90,100,1.5,JP,1723097401
268,bathsheba,13.2167,-59.5167,27.49,78,11,5.26,BB,1723097402
269,borgo san lorenzo,43.9553,11.3835,25.73,66,4,0.6,IT,1723097404
270,pachelma,53.2443,43.3521,23.82,49,80,0.76,RU,1723097405
271,kulhudhuffushi,6.6221,73.07,28.42,74,55,6.16,MV,1723097406
272,tidjikja,18.5564,-11.4271,29.07,57,85,7.25,MR,1723097407
273,puerto baquerizo moreno,-0.9,-89.6,19.54,79,84,6.29,EC,1723097409
274,port-vila,-17.7338,168.3219,22.78,78,75,5.14,VU,1723097410
275,changde,29.0464,111.6783,37.93,41,7,5.36,CN,1723097411
276,markala,13.7021,-6.0659,24.56,89,98,6.42,ML,1723097412
277,afaahiti,-17.75,-149.2833,25.93,84,17,7.1,PF,1723097413
278,eilat,29.5581,34.9482,31.91,37,0,4.12,IL,1723097414
279,watford city,47.8022,-103.2832,10.25,81,40,0.0,US,1723097416
280,lufilufi,-13.8745,-171.5986,24.88,75,76,10.12,WS,1723097417
281,alo,6.5486,4.2686,24.5,85,99,3.84,NG,1723097418
282,mandalgovi,45.7625,106.2708,20.63,56,100,7.57,MN,1723097419
283,xilin hot,43.9667,116.0333,31.95,25,84,1.77,CN,1723097420
